stockId,product,manager,asset,finance,investment,speculation,main,mainInvestment,mainSpeculation,total
2360.0,10,9,8,6,6,3,9,39,36,42
2362.0,5,2,2,1,5,8,13,15,18,23
2363.0,0,0,0,10,3,1,4,13,11,14
2364.0,4,0,0,9,4,4,8,17,17,21
2365.0,2,2,3,6,2,2,4,15,15,17
2367.0,0,0,0,2,0,9,9,2,11,11
2368.0,8,6,4,5,3,3,6,26,26,29
2369.0,0,0,0,5,0,6,6,5,11,11
2371.0,3,0,0,2,3,5,8,8,10,13
2373.0,5,9,8,2,8,7,15,32,31,39
2374.0,1,0,0,9,3,7,10,13,17,20
2375.0,3,4,6,8,6,7,13,27,28,34
2376.0,3,7,8,5,3,7,10,26,30,33
2377.0,4,10,8,9,6,9,15,37,40,46
2379.0,5,10,10,7,5,5,10,37,37,42
2380.0,0,0,0,5,0,9,9,5,14,14
2382.0,3,8,4,9,5,9,14,29,33,38
2383.0,9,10,9,6,4,3,7,38,37,41
2385.0,6,10,7,9,7,8,15,39,40,47
2387.0,5,3,3,7,10,10,20,28,28,38
2388.0,0,1,1,5,1,2,3,8,9,10
2390.0,0,0,0,10,0,3,3,10,13,13
2392.0,2,3,2,2,7,10,17,16,19,26
2393.0,6,4,4,8,7,8,15,29,30,37
2395.0,9,10,10,6,4,3,7,39,38,42
2397.0,3,6,6,4,7,10,17,26,29,36
2399.0,0,0,0,9,0,6,6,9,15,15
2401.0,0,0,0,5,0,4,4,5,9,9
2402.0,4,3,4,8,5,8,13,24,27,32
2404.0,6,10,10,9,10,9,19,45,44,54
2405.0,0,0,0,7,0,4,4,7,11,11
2406.0,0,0,0,3,0,7,7,3,10,10
2408.0,0,4,6,8,0,2,2,18,20,20
2409.0,0,0,0,1,0,10,10,1,11,11
2412.0,9,6,7,4,5,3,8,31,29,34
2413.0,2,0,0,4,8,9,17,14,15,23
2414.0,2,7,5,8,8,10,18,30,32,40
2415.0,2,1,0,6,0,8,8,9,17,17
2417.0,0,0,0,8,0,6,6,8,14,14
2419.0,2,3,3,7,3,8,11,18,23,26
2420.0,10,9,8,3,9,4,13,39,34,43
2421.0,7,9,7,6,5,4,9,34,33,38
2423.0,8,7,8,7,8,6,14,38,36,44
2424.0,0,0,0,2,0,1,1,2,3,3
2425.0,3,5,6,9,5,10,15,28,33,38
2426.0,0,0,0,5,0,5,5,5,10,10
2427.0,4,4,4,3,5,8,13,20,23,28
2428.0,9,9,10,3,7,4,11,38,35,42
2429.0,0,0,0,2,0,5,5,2,7,7
2430.0,2,4,3,1,9,10,19,19,20,29
2431.0,0,0,0,9,0,5,5,9,14,14
2432.0,3,1,1,9,1,1,2,15,15,16
2433.0,8,8,9,3,8,5,13,36,33,41
2434.0,0,0,0,4,0,1,1,4,5,5
2436.0,0,4,8,2,3,3,6,17,17,20
2438.0,0,0,0,9,0,2,2,9,11,11
2439.0,2,7,6,5,6,10,16,26,30,36
2440.0,0,0,0,7,0,10,10,7,17,17
2441.0,8,8,9,9,7,5,12,41,39,46
2442.0,5,3,2,8,5,4,9,23,22,27
2443.0,0,0,0,9,10,1,11,19,10,20
2444.0,0,0,0,1,4,9,13,5,10,14
2448.0,0,0,0,5,1,1,2,6,6,7
2449.0,9,8,7,1,7,4,11,32,29,36
2450.0,1,6,6,7,9,10,19,29,30,39
2451.0,8,6,9,9,6,4,10,38,36,42
2453.0,3,5,4,8,6,9,15,26,29,35
2454.0,8,6,10,7,6,4,10,37,35,41
2455.0,8,9,9,4,2,2,4,32,32,34
2456.0,7,4,6,5,1,1,2,23,23,24
2457.0,3,0,0,4,2,6,8,9,13,15
2458.0,9,10,10,5,4,3,7,38,37,41
2459.0,6,7,8,6,9,9,18,36,36,45
2460.0,0,0,0,4,0,6,6,4,10,10
2461.0,1,2,2,5,6,9,15,16,19,25
2462.0,4,4,4,4,9,7,16,25,23,32
2464.0,1,8,6,6,2,9,11,23,30,32
2465.0,0,0,0,7,0,6,6,7,13,13
2466.0,0,1,1,1,0,2,2,3,5,5
2467.0,6,9,8,3,4,3,7,30,29,33
2468.0,3,3,4,10,5,9,14,25,29,34
